epoch,train_loss,token_f1_micro,token_f1_macro,cls_f1_micro,cls_f1_macro,cls_precision,cls_recall,learning_rate,log_sigma_token,log_sigma_cls
1,3.206744133157933,0.5853801169590643,0.013933450721379704,0.6860215053763441,0.1663152731788851,0.6860215053763441,0.6860215053763441,6.666666666666667e-06,0.0001514764444436878,-0.00018074244144372642
2,1.546700622173066,0.6939181286549707,0.07779546715231304,0.8193548387096774,0.18782657730407643,0.8193548387096774,0.8193548387096774,1.3333333333333333e-05,0.0006960497121326625,-0.0009193610749207437
3,0.8145197262155249,0.8291228070175438,0.26566845871379025,0.8193548387096774,0.18782657730407643,0.8193548387096774,0.8193548387096774,2e-05,0.0010763503378257155,-0.0021041925065219402
4,0.5181825845799548,0.8699415204678362,0.4147847937047865,0.8197132616487455,0.1878621932988959,0.8197132616487455,0.8197132616487455,1.925925925925926e-05,0.0008417437202297151,-0.003345669247210026
5,0.38830357092492124,0.8667836257309941,0.4588027139975939,0.8139784946236559,0.18696837954512627,0.8139784946236559,0.8139784946236559,1.851851851851852e-05,0.00019544592942111194,-0.004486946389079094
6,0.31358284075209436,0.8739181286549708,0.5060977013379709,0.796415770609319,0.19624192865463844,0.796415770609319,0.796415770609319,1.7777777777777777e-05,-0.0006180718773975968,-0.005523506086319685
7,0.26569296197688325,0.8726315789473684,0.5605718559020101,0.7989247311827957,0.20760564091044803,0.7989247311827957,0.7989247311827957,1.7037037037037038e-05,-0.001513602677732706,-0.006493032444268465
8,0.23292957341417353,0.8860818713450292,0.5879380804285343,0.7924731182795699,0.21166418871577344,0.7924731182795699,0.7924731182795699,1.6296296296296297e-05,-0.0024305225815624,-0.007416390348225832
9,0.20671434288329266,0.8816374269005848,0.6048371493087048,0.7767025089605735,0.23173640473250576,0.7767025089605735,0.7767025089605735,1.555555555555556e-05,-0.0033332849852740765,-0.008285900577902794
10,0.18336345350488703,0.8850292397660818,0.6276985445097472,0.7792114695340502,0.22229894369842385,0.7792114695340502,0.7792114695340502,1.4814814814814815e-05,-0.004216271452605724,-0.00912084523588419
11,0.16700749352891395,0.8880701754385965,0.6238859182686295,0.7763440860215054,0.2190513017042915,0.7763440860215054,0.7763440860215054,1.4074074074074075e-05,-0.005062115378677845,-0.00991430040448904
